Ticker,Archetype,Name,Price,EV/FCF,EV/Revenue,FCF Margin,Op Margin,Gross Margin,GM Trend (3Y),Rev CAGR (3Y),Rev Growth (YoY),ROIC Trend (3Y),FCF Margin Trend (3Y),Rule of 40,NRR,R&D Intensity,Revenue per Employee ($K),Net Debt/EBITDA,Interest Coverage,Last Updated
CRWD,ENDPOINT,"CrowdStrike Holdings, Inc.",215.07,108.26,40.03,37.0,-2.3,75.2,1.5,29.0,25.8,3.4,-4.3,62.8,,25.7,461.0,-39.24,3.81,2026-09-01
S,ENDPOINT,"SentinelOne, Inc.",20.63,21.95,5.94,27.1,-21.6,72.5,8.3,33.4,20.6,11.0,55.4,47.7,,29.5,378.9,,,2026-09-01
PANW,NETWORK,"Palo Alto Networks, Inc.",362.09,82.17,27.73,33.7,-2.5,72.0,4.7,18.8,31.1,15.1,5.1,64.8,,18.7,493.5,-0.66,780.79,2026-09-01
FTNT,NETWORK,"Fortinet, Inc.",161.85,50.87,15.31,30.1,33.6,80.2,5.0,15.5,25.6,-56.8,-0.1,55.7,,10.8,486.5,-1.35,129.14,2026-09-01
CHKP,NETWORK,Check Point Software Technologi,134.47,19.16,4.86,25.3,27.5,87.5,-0.2,5.4,1.3,-12.8,-3.2,26.6,,16.5,405.0,-0.36,423.1,2026-09-01
OKTA,IDENTITY,"Okta, Inc.",166.43,25.88,8.74,33.8,13.3,78.1,6.7,16.3,10.6,10.0,26.2,44.4,,20.8,482.7,-7.0,80.25,2026-09-01
SAIL,IDENTITY,"SailPoint, Inc.",19.23,32.7,9.4,28.7,-28.5,66.4,-9.9,33.5,21.6,,7.7,50.3,,19.9,347.2,-41.42,0.36,2026-09-01
QLYS,DATA_SEC,"Qualys, Inc.",177.01,23.98,8.34,34.8,34.0,83.4,3.8,11.0,11.0,-4.7,9.8,45.8,,16.7,258.6,-1.46,,2026-09-01
VRNT,DATA_SEC,Verint Systems Inc.,20.51,13.46,1.7,12.6,2.0,70.9,,,-1.0,,,11.6,,,241.6,2.48,,2026-09-01
TENB,DATA_SEC,"Tenable Holdings, Inc.",35.47,15.71,3.87,24.6,4.8,78.1,0.8,13.5,8.6,7.8,8.6,33.2,,21.4,523.1,2.3,1.89,2026-09-01
GEN,DATA_SEC,Gen Digital Inc.,30.02,16.55,5.04,30.5,35.6,78.0,-3.8,14.7,6.3,4.3,7.8,36.8,,8.1,1302.3,3.17,4.24,2026-09-01
VRNS,DATA_SEC,"Varonis Systems, Inc.",42.35,33.85,6.82,20.2,-22.6,77.1,-6.4,9.6,18.3,1.7,21.1,38.5,,34.6,258.9,,-19.9,2026-09-01
RPD,DATA_SEC,"Rapid7, Inc.",12.01,8.02,1.25,15.6,2.3,69.3,1.6,7.9,-1.5,13.5,9.2,14.1,,22.3,327.6,4.45,5.57,2026-09-01
