run_date,Ticker,Archetype,Vertical,Quality Score,Valuation Score,Verdict,AI Exposure,Price
2026-08-13,TSM,Foundry,Semiconductors,77.4,40.0,Watch,Enabler,
2026-08-13,UMC,Foundry,Semiconductors,52.6,60.0,Avoid,Enabler,
2026-08-13,NVDA,Fabless,Semiconductors,94.4,20.0,Watch,Enabler,
2026-08-13,AMD,Fabless,Semiconductors,67.4,40.0,Watch,Enabler,
2026-08-13,QCOM,Fabless,Semiconductors,69.8,100.0,Buy,Compounder,
2026-08-13,AVGO,Fabless,Semiconductors,75.4,40.0,Watch,Compounder,
2026-08-13,MRVL,Fabless,Semiconductors,69.2,40.0,Watch,Compounder,
2026-08-13,MPWR,Fabless,Semiconductors,71.4,20.0,Watch,Compounder,
2026-08-13,MCHP,Fabless,Semiconductors,47.4,80.0,Avoid,Neutral,
2026-08-13,QRVO,Fabless,Semiconductors,63.8,100.0,Buy,Neutral,
2026-08-13,SWKS,Fabless,Semiconductors,49.0,80.0,Avoid,Neutral,
2026-08-13,ARM,Fabless,Semiconductors,60.2,20.0,Watch,Enabler,
2026-08-13,SLAB,Fabless,Semiconductors,35.9,60.0,Avoid,Neutral,
2026-08-13,ALGM,Fabless,Semiconductors,41.6,40.0,Pass,Neutral,
2026-08-13,MTSI,Fabless,Semiconductors,58.0,20.0,Pass,Neutral,
2026-08-13,CRUS,Fabless,Semiconductors,73.8,100.0,Buy,Neutral,
2026-08-13,SIMO,Fabless,Semiconductors,49.2,60.0,Avoid,Neutral,
2026-08-13,MXL,Fabless,Semiconductors,38.4,20.0,Pass,Neutral,
2026-08-13,RMBS,Fabless,Semiconductors,82.8,60.0,Buy,Enabler,
2026-08-13,ASML,Equipment,Semiconductors,81.0,40.0,Watch,Enabler,
2026-08-13,LRCX,Equipment,Semiconductors,83.4,20.0,Watch,Enabler,
2026-08-13,KLAC,Equipment,Semiconductors,75.6,20.0,Watch,Enabler,
2026-08-13,AMAT,Equipment,Semiconductors,65.2,20.0,Watch,Enabler,
2026-08-13,ENTG,Equipment,Semiconductors,60.4,60.0,Buy,Enabler,
2026-08-13,MKSI,Equipment,Semiconductors,57.2,60.0,Avoid,Enabler,
2026-08-13,ACLS,Equipment,Semiconductors,51.2,40.0,Pass,Neutral,
2026-08-13,UCTT,Equipment,Semiconductors,30.0,100.0,Avoid,Neutral,
2026-08-13,ICHR,Equipment,Semiconductors,31.6,20.0,Pass,Neutral,
2026-08-13,COHU,Equipment,Semiconductors,46.8,60.0,Avoid,Neutral,
2026-08-13,FORM,Equipment,Semiconductors,55.8,40.0,Pass,Neutral,
2026-08-13,ONTO,Equipment,Semiconductors,66.6,20.0,Watch,Neutral,
2026-08-13,NVMI,Equipment,Semiconductors,68.2,20.0,Watch,Neutral,
2026-08-13,CAMT,Equipment,Semiconductors,73.3,20.0,Watch,Neutral,
2026-08-13,TER,Equipment,Semiconductors,65.2,20.0,Watch,Neutral,
2026-08-13,KEYS,Equipment,Semiconductors,58.2,60.0,Avoid,Enabler,
2026-08-13,INTC,IDM,Semiconductors,49.2,20.0,Pass,Exposed,
2026-08-13,TXN,IDM,Semiconductors,60.8,40.0,Watch,Neutral,
2026-08-13,NXPI,IDM,Semiconductors,60.2,100.0,Buy,Compounder,
2026-08-13,STM,IDM,Semiconductors,38.6,20.0,Pass,Neutral,
2026-08-13,ADI,IDM,Semiconductors,70.2,60.0,Buy,Compounder,
2026-08-13,ON,IDM,Semiconductors,54.8,100.0,Avoid,Compounder,
2026-08-13,WOLF,IDM,Semiconductors,33.7,80.0,Avoid,Neutral,
2026-08-13,MU,Memory,Semiconductors,62.4,20.0,Watch,Enabler,
2026-08-13,WDC,Memory,Semiconductors,75.1,40.0,Watch,Neutral,
2026-08-13,STX,Memory,Semiconductors,81.4,20.0,Watch,Neutral,
2026-08-13,SNPS,EDA_IP,Semiconductors,57.0,80.0,Avoid,Enabler,
2026-08-13,CDNS,EDA_IP,Semiconductors,66.2,60.0,Buy,Enabler,
2026-08-13,AVT,SUPPLY_CHAIN,Semiconductors,34.6,100.0,Avoid,Neutral,
2026-08-13,ARW,SUPPLY_CHAIN,Semiconductors,38.0,100.0,Avoid,Neutral,
2026-08-13,CDW,SUPPLY_CHAIN,Semiconductors,47.0,60.0,Avoid,Neutral,
2026-08-13,AMZN,Hyperscaler,Cloud,62.6,80.0,Buy,Enabler,
2026-08-13,MSFT,Hyperscaler,Cloud,70.4,40.0,Watch,Compounder,
