Ticker,Archetype,Name,Price,EV/FCF,EV/Revenue,FCF Margin,Op Margin,Gross Margin,GM Trend (3Y),Rev CAGR (3Y),Rev Growth (YoY),ROIC Trend (3Y),FCF Margin Trend (3Y),Rule of 40,NRR,R&D Intensity,Revenue per Employee ($K),Net Debt/EBITDA,Interest Coverage,Last Updated
CRM,Enterprise_SaaS,"Salesforce, Inc.",258.11,13.73,5.54,40.4,21.4,77.3,4.3,9.8,10.8,7.4,14.5,51.2,,13.6,527.3,2.4,,2026-09-01
HUBS,Enterprise_SaaS,"HubSpot, Inc.",251.11,17.13,3.31,19.3,4.9,83.2,1.6,21.8,19.8,6.0,7.9,39.1,,26.3,382.5,-7.03,178.84,2026-09-01
WDAY,Enterprise_SaaS,"Workday, Inc.",198.38,15.82,4.74,30.0,11.8,75.8,3.2,15.4,12.8,8.2,8.3,42.8,,26.4,486.0,0.23,13.91,2026-09-01
INTU,Enterprise_SaaS,Intuit Inc.,344.93,14.83,4.45,30.0,17.6,81.0,-1.5,14.0,13.7,6.5,3.5,43.7,,13.7,,0.17,27.73,2026-09-01
NOW,Enterprise_SaaS,"ServiceNow, Inc.",142.9,29.43,10.29,35.0,4.1,74.8,-0.8,22.4,24.0,5.3,4.1,59.0,,20.1,504.7,1.31,125.96,2026-09-01
ADBE,Enterprise_SaaS,Adobe Inc.,286.08,12.49,4.57,36.6,35.3,89.4,1.6,10.5,12.7,13.5,-0.6,49.3,,17.0,803.5,0.15,36.99,2026-09-01
TEAM,Enterprise_SaaS,Atlassian Corporation,187.03,28.59,7.2,25.2,12.3,85.6,2.8,23.0,27.6,16.8,-3.8,52.8,,49.7,494.1,-0.02,8.82,2026-09-01
SAP,Enterprise_SaaS,SAP  SE,212.04,26.74,6.36,23.8,27.6,73.7,0.1,7.6,9.4,5.6,6.7,33.2,,17.4,340.9,-0.14,23.9,2026-09-01
PAYC,Enterprise_SaaS,"Paycom Software, Inc.",237.95,27.16,5.38,19.8,31.7,88.1,-1.4,14.3,9.8,1.5,3.1,29.6,,13.2,371.0,1.07,216.21,2026-09-01
PCTY,Enterprise_SaaS,Paylocity Holding Corporation,156.02,22.62,4.59,20.3,19.1,69.3,0.4,14.7,11.0,4.3,5.8,31.3,,12.5,256.7,-0.32,,2026-09-01
NICE,Enterprise_SaaS,NICE Ltd,106.59,9.69,1.94,20.0,13.8,65.1,-2.2,10.5,7.6,7.5,2.9,27.6,,11.7,318.9,-0.33,,2026-09-01
ADP,Enterprise_SaaS,"Automatic Data Processing, Inc.",283.49,21.72,5.19,23.9,23.5,48.7,1.7,6.8,6.8,-12.9,1.6,30.7,,,327.6,0.2,13.96,2026-09-01
PAYX,Enterprise_SaaS,"Paychex, Inc.",125.64,,12.14,,38.3,67.2,3.3,9.2,12.5,-12.8,4.4,,,,225.5,2.17,5.97,2026-09-01
FIVN,Enterprise_SaaS,"Five9, Inc.",34.03,10.49,2.27,21.6,3.3,55.1,2.3,13.8,10.3,8.3,9.9,31.9,,12.7,413.7,1.25,10.76,2026-09-01
SSNC,Enterprise_SaaS,"SS&C Technologies Holdings, Inc",81.91,20.41,4.05,19.8,24.6,48.1,0.6,5.9,10.3,1.8,5.5,30.1,,7.7,227.9,3.48,4.85,2026-09-01
MANH,Enterprise_SaaS,"Manhattan Associates, Inc.",216.21,38.85,11.08,28.5,25.0,55.8,3.0,12.1,9.3,14.1,12.0,37.8,,12.9,274.7,-0.46,,2026-09-01
GTLB,DevOps,GitLab Inc.,45.09,20.0,6.23,31.1,-6.0,86.8,-0.5,31.1,23.1,17.4,42.9,54.2,,27.3,389.5,,,2026-09-01
PD,DevOps,"PagerDuty, Inc.",14.04,8.95,2.12,23.6,8.2,85.0,3.9,9.9,0.8,25.1,18.6,24.4,,25.7,428.3,-1.25,7.23,2026-09-01
PLTR,Enterprise_AI,Palantir Technologies Inc.,179.92,195.99,68.74,35.1,47.1,84.8,3.8,32.9,92.8,23.8,37.3,127.9,,9.1,1398.8,-3.45,,2026-09-01
SNOW,Enterprise_AI,Snowflake Inc.,319.8,63.62,21.99,34.6,-22.2,67.1,1.9,31.4,33.5,-5.4,-0.2,68.1,,39.1,544.1,,-135.78,2026-09-01
DDOG,Enterprise_AI,"Datadog, Inc.",223.84,72.92,19.33,26.5,0.7,79.5,0.7,26.9,35.6,1.4,5.6,62.1,,39.0,489.7,-44.73,7.5,2026-09-01
MDB,Enterprise_AI,"MongoDB, Inc.",434.21,62.9,12.51,19.9,-3.6,72.0,-1.0,24.3,25.2,11.8,21.9,45.1,,27.5,461.7,,-25.61,2026-09-01
ZS,Enterprise_AI,"Zscaler, Inc.",178.37,24.51,8.56,34.9,-3.3,76.7,-0.9,34.8,25.4,13.9,6.0,60.3,,21.2,400.6,,-11.63,2026-09-01
