Ticker,Archetype,Name,Price,EV/FCF,EV/Revenue,FCF Margin,Op Margin,Gross Margin,GM Trend (3Y),Rev CAGR (3Y),Rev Growth (YoY),ROIC,ROIC Trend (3Y),FCF Margin Trend (3Y),R&D Intensity,Revenue per Employee ($K),Net Debt/EBITDA,Interest Coverage,Last Updated
TSM,Foundry,Taiwan Semiconductor Manufactur,428.91,92.83,15.28,16.5,60.3,64.2,0.3,18.9,36.0,25.2,-0.7,3.0,5.5,1827.2,-0.77,,2026-09-04
UMC,Foundry,United Microelectronics Corpora,20.77,42.34,6.23,14.7,21.7,30.6,-16.1,-5.2,17.0,8.7,-14.9,-1.9,7.1,396.7,-0.76,71.83,2026-09-04
NVDA,Fabless,NVIDIA Corporation,230.36,132.48,18.28,13.8,66.2,74.7,14.1,100.0,105.9,66.8,53.4,30.7,6.1,7213.6,-0.12,777.09,2026-09-04
AMD,Fabless,"Advanced Micro Devices, Inc.",477.57,87.18,18.66,21.4,17.2,55.7,4.6,13.6,50.1,4.4,2.7,6.2,19.6,1332.4,-0.92,72.99,2026-09-04
AVGO,Fabless,Broadcom Inc.,357.895,56.99,19.51,34.2,54.3,75.5,1.2,24.4,85.5,14.1,-7.2,-7.0,12.3,2700.1,0.68,16.22,2026-09-04
MRVL,Fabless,"Marvell Technology, Inc.",223.55,83.99,21.4,25.5,16.7,52.2,0.5,11.4,36.5,6.2,4.8,-1.1,22.0,1263.4,0.47,14.07,2026-09-04
MPWR,Fabless,"Monolithic Power Systems, Inc.",1223.86,132.22,17.95,13.6,31.0,55.2,-3.3,15.9,47.6,16.7,-9.6,13.3,11.7,727.2,-1.39,,2026-09-04
ARM,Fabless,Arm Holdings plc,252.09,199.2,51.56,25.9,7.6,97.5,1.5,22.5,22.4,8.6,-4.5,-4.8,53.8,538.0,-3.2,,2026-09-04
MTSI,Fabless,MACOM Technology Solutions Hold,268.95,194.45,17.43,9.0,23.3,56.5,-5.5,12.7,35.8,5.6,-1.8,-6.4,21.0,582.0,-0.9,50.05,2026-09-04
SIMO,Fabless,Silicon Motion Technology Corpo,256.21,,6.61,-15.0,22.4,48.9,-1.0,-2.2,127.0,9.8,-14.0,-4.7,20.0,653.8,-0.01,,2026-09-04
